Food class level 1,Food (FoodEx2 description),Finland,France,Germany,Italy,Netherlands,Sweden,United Kingdom
Composite dishes,Potatoes and meat meal,0.09,0.07,0.082,0.07,0.05,0.11,0.05
Composite dishes,Potatoes and vegetables meal,0.01,0.074,0.074,0.074,0.1,0.01,0.1
Composite dishes,"Potatoes, meat, and vegetables meal",0.04,0.107,0.107,0.107,0.05,0.09,0.05
Composite dishes,Prepared fish salad,,0.053,0.366,0.053,0.11,,0.11
Composite dishes,Prepared legume (beans) salad,,,0.062,,0.04,,0.04
Composite dishes,Prepared meat salad,0.09,,0.067,,0.04,,0.04
Composite dishes,Prepared mixed egg/meat/fish/vegetable salad,,0.088,0.088,0.088,0.088,,0.088
Composite dishes,Prepared nut salad,0.06,0.028,0.028,0.028,0.03,0.06,0.03
Composite dishes,Prepared pasta salad,0.07,0.053,0.051,0.053,0.053,,0.051
Composite dishes,Prepared potato salad,0.02,0.06,0.012,0.06,0.02,0.02,0.03
Composite dishes,Prepared rice salad,0.05,0.09,0.028,0.09,0.09,0.05,0.028
Composite dishes,Quiche,0.132,0.145,0.132,0.145,0.21,0.132,0.25
Composite dishes,Ratatouille,0.04,0.03,0.042,0.03,0.01,,0.01
Composite dishes,Rice and meat meal,,0.028,0.028,0.028,0.07,,0.05
Composite dishes,Rice and vegetables meal,,0.028,0.028,0.028,0.07,,0.08
Composite dishes,"Rice based dishes cooked, PROCESS Baking",0.01,0.01,0.01,,0.01,0.01,0.01
Composite dishes,"Rice based dishes cooked, PROCESS Cooking in water",,0.09,0.09,0.09,0.09,,0.09
Composite dishes,"Rice based dishes cooked, PROCESS Steaming",,0.051,0.051,0.051,0.051,,0.051
Composite dishes,Rice pudding,0.11,0.136,0.106,0.136,0.13,,0.13
Composite dishes,"Rice, meat, and vegetables meal",,0.051,0.032,0.051,0.07,,0.07
Composite dishes,Risotto,0.02,0.005,0.005,0.005,0.06,0.02,0.06
Composite dishes,Roesti,0.04,0.031,0.013,0.031,0.07,,0.07
Composite dishes,Sandwich and sandwich-like dishes,0.067,0.13,0.067,0.13,0.13,0.067,0.067
Composite dishes,Sandwich with cheese and vegetable topping/filling,0.08,0.113,0.113,0.113,0.113,0.08,0.113
Composite dishes,Sandwich with cheese topping/filling,0.24,0.21,0.195,0.21,0.16,0.26,0.16
Composite dishes,Sandwich with fish and vegetable topping/filling,0.06,0.073,0.091,0.073,0.073,0.06,0.091
Composite dishes,Sandwich with fish topping/filling,,0.073,0.091,0.073,0.09,,0.09
Composite dishes,Sandwich with meat and vegetable topping/filling,0.26,0.073,0.127,0.073,0.07,0.26,0.07
Composite dishes,Sandwich with processed meat topping/filling,0.11,0.16,0.104,0.16,0.08,0.11,0.08
Composite dishes,Sausage roll,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Composite dishes,Seafood salad,0.13,0.053,0.053,0.053,0.11,,0.2
Composite dishes,Seafood-based meals,,0.62,0.129,0.62,0.21,0.01,0.21
